"description","qid","item","wiki_name","name","label"
"2012 film by M. Mohanan","Q32786","http://www.wikidata.org/entity/Q32786","916 (film)","916","1"
"American dance-punk band from California","Q371","http://www.wikidata.org/entity/Q371","!!!","!!!","2"
"Mort & Phil comic","Q3729947","http://www.wikidata.org/entity/Q3729947","¡Soborno!","¡Soborno!","2"
"American band","Q158611","http://www.wikidata.org/entity/Q158611","+44 (band)","+44","2"
"building in Monmouth, Wales","Q280375","http://www.wikidata.org/entity/Q280375","1 Monk Street, Monmouth","1 Monk Street","1"
"term for city center","Q104414508","http://www.wikidata.org/entity/Q104414508","100 percent corner","100 percent corner","0"
"Category 1 South Pacific cyclone in 1889","Q3008535","http://www.wikidata.org/entity/Q3008535","1889 Apia cyclone","1889 Apia cyclone","0"
"novel by James patterson","Q85720601","http://www.wikidata.org/entity/Q85720601","18th Abduction","18th Abduction","0"
"attempt to assassinate Adolf Hitler, 1944","Q105570","http://www.wikidata.org/entity/Q105570","20 July plot","20 July plot","1"
"American film studio owned by The Walt Disney Company","Q434841","http://www.wikidata.org/entity/Q434841","20th Century Studios","20th Century Studios","2"
"philosophy-related events in France during the 20th century","Q4630640","http://www.wikidata.org/entity/Q4630640","20th-century French philosophy","20th-century French philosophy","2"
"American multinational mass media corporation (2013–2019)","Q5476713","http://www.wikidata.org/entity/Q5476713","21st Century Fox","21st Century Fox","2"
"American technology publication","Q219293","http://www.wikidata.org/entity/Q219293","2600: The Hacker Quarterly","2600: The Hacker Quarterly","2"
"30th Critics' Choice Awards for film and television","Q131401366","http://www.wikidata.org/entity/Q131401366","30th Critics' Choice Awards","30th Critics' Choice Awards","2"
"listed building in Monmouth, Monmouthshire, Wales","Q520959","http://www.wikidata.org/entity/Q520959","33 Whitecross Street, Monmouth","33 Whitecross Street","1"
"former sports media company","Q4635677","http://www.wikidata.org/entity/Q4635677","365 Media Group","365 Media Group","0"
"animation technique","Q2850042","http://www.wikidata.org/entity/Q2850042","3D animation","3D animation","0"
"stereoscopic film","Q229390","http://www.wikidata.org/entity/Q229390","3D film","3D film","0"
"National Film Festival","Q2180721","http://www.wikidata.org/entity/Q2180721","48 Hour Film Project","48 Hour Film Project","0"
"film presented with synchronized physical effects","Q1060398","http://www.wikidata.org/entity/Q1060398","4D film","4D film","0"
"energy shot drink","Q4639659","http://www.wikidata.org/entity/Q4639659","5-hour Energy","5-hour Energy","0"
"architectural structure","Q275936","http://www.wikidata.org/entity/Q275936","900 North Michigan","900 North Michigan","1"
"music festival in Netherlands","Q1758841","http://www.wikidata.org/entity/Q1758841","Lowlands (festival)","A Campingflight to Lowlands Paradise","1"
"antique store in New York","Q3602929","http://www.wikidata.org/entity/Q3602929","A La Vieille Russie","A La Vieille Russie","2"
"Comic of Paling and Ko","Q3728308","http://www.wikidata.org/entity/Q3728308","¡A las armas!","A las armas","1"
"1961 novel by James Hadley Chase","Q85739206","http://www.wikidata.org/entity/Q85739206","A Lotus for Miss Quon","A Lotus for Miss Quon","1"
"painting by Paul Cézanne","Q614986","http://www.wikidata.org/entity/Q614986","A Modern Olympia","A Modern Olympia","2"
"painting by Eugène Delacroix","Q23912","http://www.wikidata.org/entity/Q23912","A Young Tiger Playing with Its Mother","A Young Tiger Playing with its Mother","2"
"Japanese animation studio","Q277763","http://www.wikidata.org/entity/Q277763","A-1 Pictures","A-1 Pictures","2"
"Indian scientist and statesman (1931–2015)","Q9513","http://www.wikidata.org/entity/Q9513","A. P. J. Abdul Kalam","A. P. J. Abdul Kalam","2"
"auto racing team associated with above","Q1945630","http://www.wikidata.org/entity/Q1945630","AS Roma (Superleague Formula team)","A.S. Roma","2"
"British animation studio","Q301092","http://www.wikidata.org/entity/Q301092","Aardman Animations","Aardman Animations","2"
"Patriarch of the Church of the East at Seleucia-Ctesiphon","Q2708661","http://www.wikidata.org/entity/Q2708661","Aba I","Aba I","1"
