"length_lan"	"type"	"subcategory"	"category"	"G_mean_pr"	"G_density"	"G_num_cliques"	"G_avg"	"G_nodes"	"n_visits"	"back_links"	"n_mod"	"reference"	"num_langs"	"languages"	"qid"	"name"	"wiki_name"	"item"	"label"
"37.0"	"entity"	"film"	"films"	"1.0"	"0.0"	"1.0"	"1.0"	"1.0"	"144722.0"	"36.0"	"0.0"	"0.0"	"6.0"	"2.0"	"Q32786"	"916"	"916 (film)"	"http://www.wikidata.org/entity/Q32786"	"1"
"80.0"	"entity"	"musical group"	"music"	"0.0023386706889649157"	"0.008137882018479033"	"331.0"	"1.5297619047619047"	"336.0"	"592082.0"	"222.0"	"114.0"	"13.0"	"30.0"	"8.0"	"Q371"	"!!!"	"!!!"	"http://www.wikidata.org/entity/Q371"	"2"
"24.0"	"entity"	"comics"	"comics and anime"	"0.24415569693649206"	"0.9"	"2.0"	"3.2"	"5.0"	"4284.0"	"24.0"	"3.0"	"0.0"	"4.0"	"3.0"	"Q3729947"	"¡Soborno!"	"¡Soborno!"	"http://www.wikidata.org/entity/Q3729947"	"2"
"107.0"	"entity"	"musical group"	"music"	"0.0019820069492667144"	"0.006608849470554996"	"418.0"	"1.5396039603960396"	"404.0"	"1454676.0"	"228.0"	"0.0"	"0.0"	"38.0"	"9.0"	"Q158611"	"+44"	"+44 (band)"	"http://www.wikidata.org/entity/Q158611"	"2"
"82.0"	"entity"	"building"	"architecture"	"0.0024510145651073776"	"0.007598784194528876"	"333.0"	"1.3708206686930091"	"329.0"	"11501.0"	"85.0"	"0.0"	"0.0"	"2.0"	"1.0"	"Q280375"	"1 Monk Street"	"1 Monk Street, Monmouth"	"http://www.wikidata.org/entity/Q280375"	"1"
"149.0"	"concept"	"city"	"geography"	"1.0"	"0.0"	"1.0"	"1.0"	"1.0"	"5174.0"	"6.0"	"0.0"	"0.0"	"1.0"	"1.0"	"Q104414508"	"100 percent corner"	"100 percent corner"	"http://www.wikidata.org/entity/Q104414508"	"0"
"83.0"	"entity"	"historical event"	"history"	"0.0033575505368064677"	"0.011915715863084285"	"212.0"	"1.430622009569378"	"209.0"	"50207.0"	"113.0"	"0.0"	"0.0"	"8.0"	"4.0"	"Q3008535"	"1889 Apia cyclone"	"1889 Apia cyclone"	"http://www.wikidata.org/entity/Q3008535"	"0"
"19.0"	"entity"	"book"	"books"	"0.0019571249309139277"	"0.00584650272836794"	"401.0"	"1.354368932038835"	"412.0"	"29896.0"	"101.0"	"0.0"	"0.0"	"1.0"	"1.0"	"Q85720601"	"18th Abduction"	"18th Abduction"	"http://www.wikidata.org/entity/Q85720601"	"0"
"332.0"	"entity"	"historical event"	"history"	"0.0016823254576545398"	"0.0053441001678537405"	"511.0"	"1.3468085106382979"	"470.0"	"5099535.0"	"1150.0"	"0.0"	"0.0"	"55.0"	"10.0"	"Q105570"	"20 July plot"	"20 July plot"	"http://www.wikidata.org/entity/Q105570"	"1"
"205.0"	"entity"	"film studio"	"media"	"0.001955114071542051"	"0.008061383061383062"	"367.0"	"1.6647727272727273"	"352.0"	"4220282.0"	"2421.0"	"328.0"	"53.0"	"86.0"	"10.0"	"Q434841"	"20th Century Studios"	"20th Century Studios"	"http://www.wikidata.org/entity/Q434841"	"2"
"25.0"	"entity"	"philosophical movement"	"philosophy and religion"	"0.0048098275985911584"	"0.01882396794334172"	"150.0"	"1.6054421768707483"	"147.0"	"102299.0"	"16.0"	"0.0"	"0.0"	"3.0"	"3.0"	"Q4630640"	"20th-century French philosophy"	"20th-century French philosophy"	"http://www.wikidata.org/entity/Q4630640"	"2"
"273.0"	"entity"	"media company"	"media"	"0.002023108838703788"	"0.009009009009009009"	"343.0"	"1.721556886227545"	"334.0"	"4791826.0"	"681.0"	"61.0"	"72.0"	"45.0"	"10.0"	"Q5476713"	"21st Century Fox"	"21st Century Fox"	"http://www.wikidata.org/entity/Q5476713"	"2"
"106.0"	"entity"	"magazine"	"media"	"1.0"	"0.0"	"1.0"	"1.0"	"1.0"	"382431.0"	"105.0"	"56.0"	"17.0"	"14.0"	"8.0"	"Q219293"	"2600: The Hacker Quarterly"	"2600: The Hacker Quarterly"	"http://www.wikidata.org/entity/Q219293"	"2"
"162.0"	"entity"	"television"	"media"	"0.003305313961497811"	"0.019089884474499857"	"178.0"	"1.8106508875739644"	"169.0"	"0.0"	"306.0"	"0.0"	"0.0"	"10.0"	"9.0"	"Q131401366"	"30th Critics' Choice Awards"	"30th Critics' Choice Awards"	"http://www.wikidata.org/entity/Q131401366"	"2"
"61.0"	"entity"	"building"	"architecture"	"0.006211022701548301"	"0.022554419092578024"	"105.0"	"1.6935483870967742"	"124.0"	"4820.0"	"85.0"	"0.0"	"0.0"	"3.0"	"1.0"	"Q520959"	"33 Whitecross Street"	"33 Whitecross Street, Monmouth"	"http://www.wikidata.org/entity/Q520959"	"1"
"179.0"	"entity"	"media company"	"media"	"1.0"	"0.0"	"1.0"	"1.0"	"1.0"	"47363.0"	"23.0"	"0.0"	"0.0"	"1.0"	"1.0"	"Q4635677"	"365 Media Group"	"365 Media Group"	"http://www.wikidata.org/entity/Q4635677"	"0"
"66.0"	"entity"	"animation technique"	"comics and anime"	"0.001689264406272806"	"0.005681761940113834"	"458.0"	"1.4844444444444445"	"450.0"	"55448.0"	"132.0"	"0.0"	"0.0"	"5.0"	"3.0"	"Q2850042"	"3D animation"	"3D animation"	"http://www.wikidata.org/entity/Q2850042"	"0"
"197.0"	"concept"	"film"	"films"	"0.0019312915204528183"	"0.008051362137775464"	"349.0"	"1.5823529411764705"	"340.0"	"1883917.0"	"1498.0"	"0.0"	"0.0"	"49.0"	"10.0"	"Q229390"	"3D film"	"3D film"	"http://www.wikidata.org/entity/Q229390"	"0"
"174.0"	"entity"	"film festival"	"films"	"0.0013413628655579788"	"0.004969667424981042"	"563.0"	"1.525735294117647"	"544.0"	"83310.0"	"71.0"	"24.0"	"10.0"	"5.0"	"3.0"	"Q2180721"	"48 Hour Film Project"	"48 Hour Film Project"	"http://www.wikidata.org/entity/Q2180721"	"0"
"94.0"	"concept"	"film"	"films"	"0.0021974432165229587"	"0.00788912579957356"	"314.0"	"1.5892857142857142"	"336.0"	"1022886.0"	"259.0"	"0.0"	"0.0"	"25.0"	"9.0"	"Q1060398"	"4D film"	"4D film"	"http://www.wikidata.org/entity/Q1060398"	"0"
"30.0"	"concept"	"drink"	"food"	"0.0031590310645186396"	"0.00990691688366107"	"278.0"	"1.393822393822394"	"259.0"	"872312.0"	"134.0"	"0.0"	"0.0"	"2.0"	"2.0"	"Q4639659"	"5-hour Energy"	"5-hour Energy"	"http://www.wikidata.org/entity/Q4639659"	"0"
"232.0"	"entity"	"architectural structure"	"architecture"	"0.0017295753209574643"	"0.005408648299413909"	"482.0"	"1.3948497854077253"	"466.0"	"92091.0"	"246.0"	"48.0"	"18.0"	"15.0"	"7.0"	"Q275936"	"900 North Michigan"	"900 North Michigan"	"http://www.wikidata.org/entity/Q275936"	"1"
"95.0"	"concept"	"music festival"	"music"	"0.0018062764590080704"	"0.006380697743506284"	"380.0"	"1.4619289340101522"	"394.0"	"207233.0"	"286.0"	"29.0"	"5.0"	"9.0"	"6.0"	"Q1758841"	"A Campingflight to Lowlands Paradise"	"Lowlands (festival)"	"http://www.wikidata.org/entity/Q1758841"	"1"
"73.0"	"entity"	"art gallery"	"visual arts"	"0.002062206603422403"	"0.0075896280299829425"	"366.0"	"1.5139664804469273"	"358.0"	"13703.0"	"328.0"	"0.0"	"0.0"	"5.0"	"4.0"	"Q3602929"	"A La Vieille Russie"	"A La Vieille Russie"	"http://www.wikidata.org/entity/Q3602929"	"2"
"26.0"	"entity"	"comics"	"comics and anime"	"0.24415569693649206"	"0.9"	"2.0"	"3.2"	"5.0"	"3950.0"	"24.0"	"0.0"	"0.0"	"5.0"	"3.0"	"Q3728308"	"A las armas"	"¡A las armas!"	"http://www.wikidata.org/entity/Q3728308"	"1"
"16.0"	"entity"	"book"	"books"	"0.013145099022113391"	"0.045422781271837874"	"48.0"	"1.6111111111111112"	"54.0"	"3544.0"	"30.0"	"0.0"	"0.0"	"1.0"	"1.0"	"Q85739206"	"A Lotus for Miss Quon"	"A Lotus for Miss Quon"	"http://www.wikidata.org/entity/Q85739206"	"1"
"155.0"	"entity"	"painting"	"visual arts"	"0.07083694115319357"	"0.2571428571428571"	"9.0"	"3.066666666666667"	"15.0"	"0.0"	"49.0"	"0.0"	"0.0"	"6.0"	"3.0"	"Q614986"	"A Modern Olympia"	"A Modern Olympia"	"http://www.wikidata.org/entity/Q614986"	"2"
"84.0"	"entity"	"painting"	"visual arts"	"0.004696509971892838"	"0.019643623872906826"	"126.0"	"1.635036496350365"	"137.0"	"27241.0"	"294.0"	"0.0"	"0.0"	"7.0"	"4.0"	"Q23912"	"A Young Tiger Playing with its Mother"	"A Young Tiger Playing with Its Mother"	"http://www.wikidata.org/entity/Q23912"	"2"
"51.0"	"entity"	"animation studio"	"comics and anime"	"0.0052622371483426"	"0.02648412074963528"	"125.0"	"2.291044776119403"	"134.0"	"2539022.0"	"832.0"	"103.0"	"33.0"	"31.0"	"10.0"	"Q277763"	"A-1 Pictures"	"A-1 Pictures"	"http://www.wikidata.org/entity/Q277763"	"2"
"188.0"	"entity"	"politician"	"politics"	"0.002056614794621133"	"0.007682335429970711"	"364.0"	"1.5508474576271187"	"354.0"	"43347300.0"	"1298.0"	"1.0"	"0.0"	"98.0"	"10.0"	"Q9513"	"A. P. J. Abdul Kalam"	"A. P. J. Abdul Kalam"	"http://www.wikidata.org/entity/Q9513"	"2"
"58.0"	"entity"	"sports team"	"sports"	"0.00466589594454689"	"0.017092638877690882"	"160.0"	"1.5063291139240507"	"158.0"	"293.0"	"28.0"	"0.0"	"0.0"	"3.0"	"2.0"	"Q1945630"	"A.S. Roma"	"AS Roma (Superleague Formula team)"	"http://www.wikidata.org/entity/Q1945630"	"2"
"99.0"	"entity"	"film studio"	"media"	"0.0019668841198145362"	"0.006846550779786099"	"360.0"	"1.5281501340482573"	"373.0"	"2520741.0"	"957.0"	"184.0"	"10.0"	"36.0"	"10.0"	"Q301092"	"Aardman Animations"	"Aardman Animations"	"http://www.wikidata.org/entity/Q301092"	"2"
"168.0"	"entity"	"religious leader"	"philosophy and religion"	"0.0027481735712070825"	"0.009739500818118068"	"293.0"	"1.5"	"278.0"	"30018.0"	"138.0"	"0.0"	"0.0"	"16.0"	"7.0"	"Q2708661"	"Aba I"	"Aba I"	"http://www.wikidata.org/entity/Q2708661"	"1"
"241.0"	"entity"	"poet"	"literature"	"0.3411716203526378"	"0.6666666666666666"	"2.0"	"1.0"	"3.0"	"36354.0"	"41.0"	"1.0"	"0.0"	"20.0"	"8.0"	"Q30556"	"Abbad II al-Mu'tadid"	"Abbad II al-Mu'tadid"	"http://www.wikidata.org/entity/Q30556"	"1"
"240.0"	"entity"	"film producer"	"films"	"0.001995910175804564"	"0.007589846695149535"	"322.0"	"1.615606936416185"	"346.0"	"1563547.0"	"705.0"	"256.0"	"109.0"	"68.0"	"10.0"	"Q55210"	"Abbas Kiarostami"	"Abbas Kiarostami"	"http://www.wikidata.org/entity/Q55210"	"2"
"196.0"	"entity"	"museum"	"history"	"0.006812343502320522"	"0.023853211009174313"	"97.0"	"1.6090909090909091"	"110.0"	"131155.0"	"336.0"	"0.0"	"0.0"	"44.0"	"9.0"	"Q157550"	"Abbey and Altenmünster of Lorsch"	"Lorsch Abbey"	"http://www.wikidata.org/entity/Q157550"	"2"
"137.0"	"entity"	"automobile manufacturer"	"transportation"	"0.0012525581094059535"	"0.004512896948619219"	"602.0"	"1.436426116838488"	"582.0"	"43307.0"	"206.0"	"24.0"	"7.0"	"11.0"	"4.0"	"Q262737"	"ABC Motors"	"ABC Motors"	"http://www.wikidata.org/entity/Q262737"	"0"
"33.0"	"entity"	"construction"	"architecture"	"0.006345027083015047"	"0.024968394437420986"	"113.0"	"1.6194690265486726"	"113.0"	"1915.0"	"7.0"	"0.0"	"0.0"	"11.0"	"1.0"	"Q84044419"	"Abeiku Crentsil"	"Abeiku Crentsil"	"http://www.wikidata.org/entity/Q84044419"	"1"
"49.0"	"entity"	"writer"	"literature"	"0.003660671705882387"	"0.013217023526301877"	"188.0"	"1.4820512820512821"	"195.0"	"74891.0"	"16.0"	"0.0"	"0.0"	"5.0"	"1.0"	"Q9457"	"Abid Surti"	"Abid Surti"	"http://www.wikidata.org/entity/Q9457"	"1"
